id,from_defect_id,to_defect_id
213,4458,4460
214,6796,6795
215,5935,5932
216,8515,8693
217,8674,8673
218,6472,6537
219,9192,9196
220,9397,9476
221,8467,8461
222,8590,8807
223,1516,1342
224,8352,9325
225,8517,8467
226,4783,3545
227,9471,9472
228,3202,3217
229,6924,6921
230,4220,4190
231,4190,3736
232,2764,2997
233,5751,5753
234,9196,9238
235,8962,8961
236,7310,5773
237,5977,5975
238,7556,7699
239,7224,7028
240,2575,2576
241,3389,4715
242,2090,2091
243,6820,6821
244,10403,7881
245,6066,6067
246,3426,3427
247,6539,6538
248,5929,6416
249,11219,10881
250,2368,2992
251,3427,3428
252,9444,9476
253,6067,6068
254,7323,5773
255,9055,8849
256,8502,8505
257,4697,2844
258,5105,5194
259,8859,8858
260,6315,6321
261,9859,9857
262,5680,6366
263,7402,3239
264,8338,8414
265,4914,5729
266,9450,9445
267,7324,5773
268,8786,8794
269,3170,3185
270,4151,2421
271,7551,7552
272,4505,4539
273,9120,9329
274,9047,9146
275,6318,6321
276,9360,9369
277,6332,6334
278,9546,9174
279,6419,6423
280,2237,2241
281,5696,11475
282,7266,7281
283,8908,9008
284,12558,12859
285,5218,7187
286,9381,9364
287,11683,12015
288,10488,4840
289,2781,2796
290,2420,2443
291,5823,5824
292,7244,5773
293,3457,3540
294,9498,9589
295,3343,3203
296,4317,4313
297,2619,2622
298,7329,7330
299,6221,6239
300,6795,2627
301,3914,4109
302,4058,4049
303,7942,7966
304,4097,4169
305,6307,6308
306,9430,9440
307,6317,6379
308,6180,6138
309,6061,6063
310,6078,6462
311,7325,5773
312,8339,8414
313,9429,9440
314,2288,2327
315,1,3405
316,9440,9441
317,6974,7002
318,9054,9066
319,11067,11179
320,965,1106
321,5752,5753
322,10295,10294
323,194,221
324,11733,11998
325,5907,5909
326,4155,4172
327,553,3817
328,6062,6063
329,2239,2241
330,7190,5773
331,8489,8490
332,12845,13211
333,9454,9450
334,7315,5773
335,2565,2694
336,6308,6309
337,4814,5868
338,7306,5773
